1	東	端	東一	東	德紅
2	同	定	東一	東	徒紅
3	中	知	東三	東	陟弓
4	蟲	澄	東三	東	直弓
5	終	章	東三	東	職戎
6	忡	徹	東三	東	敕中
7	崇	崇	東三	東	鋤弓
8	嵩	心	東三	東	息弓
9	戎	日	東三	東	如融
10	弓	見	東三	東	居戎
11	融	以	東三	東	以戎
12	雄	云	東三	東	羽弓
13	瞢	明	東三	東	莫中
14	穹	溪	東三	東	去宮
15	窮	羣	東三	東	渠弓
16	馮	並	東三	東	房戎
17	風	幫	東三	東	方戎
18	豐	滂	東三	東	敷空
19	充	昌	東三	東	昌終
20	隆	來	東三	東	力中
21	空	溪	東一	東	苦紅
22	公	見	東一	東	古紅
23	蒙	明	東一	東	莫紅
24	籠	來	東一	東	盧紅
25	洪	匣	東一	東	戸公
26	叢	從	東一	東	徂紅
27	翁	影	東一	東	烏紅
28	怱	清	東一	東	倉紅
29	通	透	東一	東	他紅
30	葼	精	東一	東	子紅
31	蓬	並	東一	東	薄紅
32	烘	曉	東一	東	呼東
33	㟅	疑	東一	東	五東
34	檧	心	東一	東	蘇公
35	冬	端	冬	冬	都宗
36	彤	定	冬	冬	徒冬
37	賨	從	冬	冬	藏宗
38	農	泥	冬	冬	奴冬
39	攻	見	冬	冬	古冬
40	䃔	匣	冬	冬	戸冬
41	䃧	來	冬	冬	力冬
42	宗	精	冬	冬	作冬
43	鬆	心	冬	冬	私宗
44	炵	透	冬	冬	他冬
45	鍾	章	鍾	鍾	職容
46	龍	來	鍾	鍾	力鍾
47	舂	書	鍾	鍾	書容
48	松	邪	鍾	鍾	祥容
49	𧘂	昌	鍾	鍾	尺容
50	容	以	鍾	鍾	餘封
51	封	幫	鍾	鍾	府容
52	胷	曉	鍾	鍾	許容
53	顒	疑	鍾	鍾	魚容
54	邕	影	鍾	鍾	於容
55	醲	孃	鍾	鍾	女容
56	重	澄	鍾	鍾	直容
57	從	從	鍾	鍾	疾容
58	蹱	徹	鍾	鍾	丑凶
59	逢	並	鍾	鍾	符容
60	峯	滂	鍾	鍾	敷容
61	縱	精	鍾	鍾	即容
62	茸	日	鍾	鍾	而容
63	蛩	羣	鍾	鍾	渠容
64	鱅	常	鍾	鍾	蜀庸
65	恭	見	鍾	鍾	九容
66	蜙	心	鍾	鍾	息恭
67	樅	清	鍾	鍾	七恭
68	銎	溪	鍾	鍾	曲恭
69	江	見	江	江	古雙
70	厖	明	江	江	莫江
71	𦗳	孃	江	江	女江
72	囪	初	江	江	楚江
73	邦	幫	江	江	博江
74	栙	匣	江	江	下江
75	胮	滂	江	江	匹江
76	瀧	來	江	江	吕江
77	雙	生	江	江	所江
78	龐	並	江	江	薄江
79	肛	曉	江	江	許江
80	胦	影	江	江	握江
81	腔	溪	江	江	苦江
82	幢	澄	江	江	宅江
83	憃	徹	江	江	丑江
84	樁	知	江	江	都江
85	㟅	疑	江	江	五江
86	淙	崇	江	江	士江
87	支	章	支開	支	章移
88	移	以	支開	支	弋支
89	爲	云	支合	支	薳支
90	嬀	見	支B合	支B	居爲
